,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
0,0,48,0,48,16,128,-192,-192,384,-192,384,128,-48,-96,-384,-16,-96,-48,-192,-64,0,96,0,-384,96,0,0,-768,384,0,0,-256,0,-256,96,0,0,0,0,0,0,384,24,32,0,0,0,192,0,384,0,192,0,8,96,0,-192,192,0,0,-768,384,48,192,-192,384,0,-768,0,0,0,0,96,0,0,384,192,96,0,384,192,0,24,96,96,0,192,-384,48,-64
1,16,36,12,36,12,64,-128,-128,208,-128,224,80,-48,-64,-256,-16,-64,-48,-128,-32,0,48,0,-200,52,0,0,-416,208,-32,0,-144,-32,-144,56,64,112,0,0,96,0,208,12,16,56,40,0,104,48,208,-16,104,-16,4,48,-8,-104,96,-32,-16,-432,208,24,104,-112,208,-32,-448,56,112,0,0,48,96,-16,208,104,48,48,208,104,-16,12,52,56,-8,112,-232,28,-40
2,16,36,12,36,12,64,-128,-128,208,-128,224,80,-48,-64,-256,-16,-64,-48,-128,-32,0,48,0,-200,52,0,0,-416,208,-32,0,-144,-32,-144,56,64,112,0,0,96,0,208,12,16,56,40,0,104,48,208,-16,104,-16,4,48,-8,-104,96,-32,-16,-432,208,24,104,-112,208,-32,-448,56,112,0,0,48,96,-16,208,104,48,48,208,104,-16,12,52,56,-8,112,-232,28,-40
3,16,36,12,36,12,64,-128,-128,208,-128,224,80,-48,-64,-256,-16,-64,-48,-128,-32,0,48,0,-200,52,0,0,-416,208,-32,0,-144,-32,-144,56,64,112,0,0,96,0,208,12,16,56,40,0,104,48,208,-16,104,-16,4,48,-8,-104,96,-32,-16,-432,208,24,104,-112,208,-32,-448,56,112,0,0,48,96,-16,208,104,48,48,208,104,-16,12,52,56,-8,112,-232,28,-40
4,16,36,12,36,12,64,-128,-128,208,-128,224,80,-48,-64,-256,-16,-64,-48,-128,-32,0,48,0,-200,52,0,0,-416,208,-32,0,-144,-32,-144,56,64,112,0,0,96,0,208,12,16,56,40,0,104,48,208,-16,104,-16,4,48,-8,-104,96,-32,-16,-432,208,24,104,-112,208,-32,-448,56,112,0,0,48,96,-16,208,104,48,48,208,104,-16,12,52,56,-8,112,-232,28,-40
5,12,36,16,36,12,80,-128,-128,224,-128,208,64,-48,-64,-256,-16,-64,-48,-128,-40,-8,56,-32,-232,52,-16,-32,-448,208,0,-8,-144,0,-144,48,40,96,-32,-16,112,-16,208,12,16,48,64,-32,104,56,208,0,104,0,4,56,0,-112,112,0,0,-432,208,28,104,-104,208,0,-416,48,96,-16,-16,48,112,0,208,104,48,56,208,104,0,12,52,48,0,96,-200,24,-32
6,12,36,16,36,12,80,-128,-128,224,-128,208,64,-48,-64,-256,-16,-64,-48,-128,-40,-8,56,-32,-232,52,-16,-32,-448,208,0,-8,-144,0,-144,48,40,96,-32,-16,112,-16,208,12,16,48,64,-32,104,56,208,0,104,0,4,56,0,-112,112,0,0,-432,208,28,104,-104,208,0,-416,48,96,-16,-16,48,112,0,208,104,48,56,208,104,0,12,52,48,0,96,-200,24,-32
7,32,32,16,24,8,0,-96,-128,64,-96,128,64,-48,-32,-128,-16,-32,-48,-64,0,0,32,128,-32,48,0,128,-128,160,0,0,-64,0,-64,32,64,128,0,0,128,0,128,16,16,96,32,0,64,64,96,-64,32,-64,0,32,-32,-32,32,-128,-64,-192,96,0,32,-64,64,-128,-256,96,128,0,0,48,128,-64,96,64,32,64,64,32,-64,8,16,48,-32,64,-160,16,-32
8,32,32,16,24,8,0,-96,-128,64,-96,128,64,-48,-32,-128,-16,-32,-48,-64,0,0,32,128,-32,48,0,128,-128,160,0,0,-64,0,-64,48,64,128,0,0,128,0,128,16,16,96,32,0,64,64,96,-64,32,-64,0,32,-32,-32,32,-128,-64,-192,96,0,32,-64,64,-128,-256,96,128,0,0,48,128,-64,96,64,32,64,64,32,-64,8,16,32,-32,64,-160,16,-32
9,32,28,16,28,8,0,-64,-96,64,-80,128,64,-56,-48,-192,-8,-32,-48,-64,0,-32,16,0,-32,32,-32,64,-128,112,-128,0,-64,-64,-64,32,96,192,128,64,160,64,128,12,16,0,64,0,48,0,112,0,64,0,4,16,-64,-32,32,0,-96,-192,112,8,64,-64,96,-128,-256,96,128,0,0,40,96,-64,80,48,40,96,96,32,-64,8,16,32,-32,64,-160,8,-32
